date,temperature_high,temperature_low,weather,wind,air_quality,
2022-09-17 周六,24°,16°,小雨~阵雨,东北风1级,18 优,
2022-09-18 周日,23°,18°,多云~阵雨,东南风1级,13 优,
2022-09-19 周一,20°,16°,小雨~阵雨,东北风1级,13 优,
2022-09-20 周二,18°,14°,小雨~阵雨,东北风1级,10 优,
2022-09-21 周三,26°,15°,多云~阵雨,东风1级,10 优,
2022-09-22 周四,18°,12°,小雨~阵雨,东风1级,15 优,
2022-09-23 周五,15°,11°,多云~阴,东南风1级,15 优,
2022-09-24 周六,23°,14°,多云~阴,东风1级,12 优,
2022-09-25 周日,24°,13°,多云~阵雨,东南风1级,15 优,
2022-09-26 周一,17°,12°,小雨~阵雨,东南风1级,15 优,
2022-09-27 周二,19°,11°,小雨~多云,北风1级,11 优,
2022-09-28 周三,27°,13°,多云,东南风2级,13 优,
2022-09-29 周四,23°,15°,多云~阴,东南风1级,16 优,
2022-09-30 周五,23°,16°,多云~阵雨,东南风1级,18 优,
2022-08-01 周一,29°,19°,多云~阵雨,西南风1级,45 优,
2022-08-02 周二,29°,20°,多云~阵雨,东南风2级,39 优,
2022-08-03 周三,33°,21°,多云~阵雨,东南风2级,36 优,
2022-08-04 周四,34°,21°,多云~阵雨,东南风1级,35 优,
2022-08-05 周五,35°,20°,多云~阵雨,东南风1级,29 优,
2022-08-06 周六,35°,21°,多云~阴,东南风2级,33 优,
2022-08-07 周日,36°,21°,多云~阴,东南风2级,30 优,
2022-08-08 周一,36°,21°,多云~阵雨,东南风2级,29 优,
2022-08-09 周二,36°,22°,多云~阵雨,东南风2级,37 优,
2022-08-10 周三,34°,22°,多云~阴,东南风2级,31 优,
2022-08-11 周四,36°,21°,多云~阵雨,东南风2级,75 良,
2022-08-12 周五,36°,21°,多云~阴,东南风2级,40 优,
2022-08-13 周六,36°,22°,多云~阵雨,东南风2级,39 优,
2022-08-14 周日,36°,22°,多云~阵雨,东南风2级,43 优,
2022-08-15 周一,31°,21°,多云~阵雨,东风1级,38 优,
2022-08-16 周二,33°,22°,多云~阵雨,东南风2级,44 优,
2022-08-17 周三,35°,19°,多云~阵雨,东南风2级,44 优,
2022-08-18 周四,32°,21°,多云~阵雨,东南风2级,40 优,
2022-08-19 周五,26°,20°,小雨~阵雨,东风1级,34 优,
2022-08-20 周六,34°,21°,多云~阴,东南风2级,35 优,
2022-08-21 周日,36°,22°,多云~阴,东南风2级,47 优,
2022-08-22 周一,34°,21°,多云~阵雨,东南风2级,38 优,
2022-08-23 周二,30°,22°,多云~阵雨,东南风2级,35 优,
2022-08-24 周三,31°,21°,多云~阵雨,东南风2级,25 优,
2022-08-25 周四,25°,20°,多云~阵雨,东风1级,13 优,
2022-08-26 周五,28°,21°,多云~阵雨,东南风1级,13 优,
2022-08-27 周六,23°,21°,小雨~大雨,东南风1级,13 优,
2022-08-28 周日,20°,17°,中雨~阵雨,东北风1级,11 优,
2022-08-29 周一,20°,16°,多云~阵雨,东北风1级,9 优,
2022-08-30 周二,20°,16°,多云,北风1级,10 优,
2022-08-31 周三,26°,14°,多云~阴,东北风1级,11 优,
2022-07-01 周五,31°,17°,多云~阵雨,东南风2级,34 优,
2022-07-02 周六,31°,17°,多云,东南风1级,35 优,
2022-07-03 周日,33°,17°,多云~晴,西南风2级,30 优,
2022-07-04 周一,34°,16°,多云~阵雨,西风2级,30 优,
2022-07-05 周二,33°,17°,小雨~晴,西北风2级,33 优,
2022-07-06 周三,36°,18°,晴,西南风2级,40 优,
2022-07-07 周四,36°,18°,多云,东南风2级,39 优,
2022-07-08 周五,36°,19°,多云~阵雨,东南风2级,44 优,
2022-07-09 周六,34°,20°,多云~阵雨,东南风2级,52 良,
2022-07-10 周日,32°,22°,多云~阵雨,东南风2级,45 优,
2022-07-11 周一,29°,22°,小雨~大雨,东南风1级,36 优,
