date,tourism_num
2016-12-27,2320
2016-12-26,2068
2016-12-25,2224
2016-12-24,2602
2016-12-23,2197
2016-12-22,1789
2016-12-21,1882
2016-12-20,2090
2016-12-20,2011
2016-12-18,2005
2016-12-17,2372
2016-12-16,1869
2016-12-15,2014
2016-12-14,3303
2016-12-13,2604
2016-12-12,1957
2016-12-11,2322
2016-12-10,2536
2016-12-09,2685
2016-12-08,2015
2016-12-07,2949
2016-12-06,2576
2016-12-05,2111
2016-12-04,2690
2016-12-03,2920
2016-12-02,2893
2016-12-01,2424
2016-11-30,2772
2016-11-29,2929
2016-11-28,2839
2016-11-27,3265
2016-11-26,4722
2016-11-25,3993
2016-11-24,4409
2016-11-23,5078
2016-11-22,5982
2016-11-21,5082
2016-11-20,5122
2016-11-19,6854
2016-11-18,8625
2016-11-17,7677
2016-11-16,9410
2016-11-15,3595
2016-11-14,4087
2016-11-13,5811
2016-11-12,6723
2016-11-11,6623
2016-11-10,7123
2016-11-09,7287
2016-11-08,7884
2016-11-07,7786
2016-11-06,9996
2016-11-05,14723
2016-11-04,14477
2016-11-03,13961
2016-11-02,13400
2016-11-01,11087
2016-10-31,11384
2016-10-30,15602
2016-10-29,21318
2016-10-28,22548
2016-10-27,22314
2016-10-26,22604
2016-10-25,22018
2016-10-24,22117
2016-10-23,22214
2016-10-22,28918
2016-10-21,30586
2016-10-20,27548
2016-10-19,31098
2016-10-18,30165
2016-10-17,29467
2016-10-16,25559
2016-10-15,27642
2016-10-14,28607
2016-10-13,25659
2016-10-12,24772
2016-10-11,20468
2016-10-10,19440
2016-10-09,15150
2016-10-08,16594
2016-10-07,16413
2016-10-06,20762
2016-10-05,33014
2016-10-04,40998
2016-10-03,40995
2016-10-02,40813
2016-10-01,16301
2016-09-30,16071
2016-09-29,14774
2016-09-28,16858
2016-09-27,19153
2016-09-26,18624
2016-09-25,20962
2016-09-24,23746
2016-09-23,27764
2016-09-22,26338
2016-09-21,27518
2016-09-20,23575
2016-09-19,22764
2016-09-18,19122
2016-09-17,13859
2016-09-16,21549
2016-09-15,18059
2016-09-14,17264
2016-09-13,23317
2016-09-12,21269
2016-09-11,19205
2016-09-10,20874
2016-09-09,19889
2016-09-08,18800
2016-09-07,19520
2016-09-06,19093
2016-09-05,18143
2016-09-04,18784
2016-09-03,16978
2016-09-02,15192
2016-09-01,13136
2016-08-31,11874
2016-08-30,10774
2016-08-29,11580
2016-08-28,13744
2016-08-27,17088
2016-08-26,19759
2016-08-25,21131
2016-08-24,25186
2016-08-23,23954
2016-08-22,23734
2016-08-21,26164
2016-08-20,24971
2016-08-19,30203
2016-08-18,27390
2016-08-17,31908
2016-08-16,29787
2016-08-15,29387
2016-08-14,31670
2016-08-13,31712
2016-08-12,37162
2016-08-11,34270
2016-08-10,38298
2016-08-09,34360
2016-08-08,33268
2016-08-07,32862
2016-08-06,31516
2016-08-05,36475
2016-08-04,32869
2016-08-03,34371
2016-08-02,29364
2016-08-01,27230
2016-07-31,27306
2016-07-30,23459
2016-07-29,28961
2016-07-28,26497
2016-07-27,28336
2016-07-26,23485
2016-07-25,23459
2016-07-24,24610
2016-07-23,23154
2016-07-22,25017
2016-07-21,22787
2016-07-20,25795
2016-07-19,22577
2016-07-18,20133
2016-07-17,22119
2016-07-16,20523
2016-07-15,22513
2016-07-14,18219
2016-07-13,18954
2016-07-12,18273
2016-07-11,16734
2016-07-10,19391
2016-07-09,19558
2016-07-07,19717
2016-07-06,19908
2016-07-05,18806
2016-07-04,17380
2016-07-03,16677
2016-07-02,17540
2016-07-01,18991
2016-06-30,13636
2016-06-29,13927
2016-06-28,12780
2016-06-27,13329
2016-06-26,13617
2016-06-25,13603
2016-06-24,13217
2016-06-23,11991
2016-06-22,12666
2016-06-21,13185
2016-06-20,12390
2016-06-17,16252
2016-06-16,14799
2016-06-15,14517
2016-06-14,13108
2016-06-13,11569
2016-06-12,12771
2016-06-11,13233
2016-06-10,21864
2016-06-09,13308
2016-06-08,13856
2016-06-07,14606
2016-06-06,12783
2016-06-05,11939
2016-06-04,13994
2016-06-03,12711
2016-06-02,10318
2016-06-01,10231
2016-05-31,10063
2016-05-30,10657
2016-05-29,11678
2016-05-28,13173
2016-05-27,13102
2016-05-26,11018
2016-05-25,11549
2016-05-23,11047
2016-05-22,10696
2016-05-21,15228
2016-05-20,13717
2016-05-19,11692
2016-05-18,12512
2016-05-17,12302
2016-05-16,12193
2016-05-15,10963
2016-05-14,13336
2016-05-13,11379
2016-05-12,12010
2016-05-11,12371
2016-05-10,10584
2016-05-09,9603
2016-05-08,9717
2016-05-07,11210
2016-05-06,9540
2016-05-05,9322
2016-05-04,8765
2016-05-03,8522
2016-05-02,9715
2016-05-01,23159
2016-04-30,13001
2016-04-29,11216
2016-04-28,11444
2016-04-27,11617
2016-04-26,11117
2016-04-25,10936
2016-04-24,12383
2016-04-23,17624
2016-04-22,14979
2016-04-21,13403
2016-04-20,12512
2016-04-19,12750
2016-04-18,12713
2016-04-17,12646
2016-04-16,15662
2016-04-15,12960
2016-04-14,11735
2016-04-13,12025
2016-04-12,10780
2016-04-11,10158
